date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:11	79444/79444	---M-Z	200	added ('OK')	font/woff2	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-solid-900-7f4d3fd0a705dbf8403298aad91d5de6972e6b5d536068eba8b24954a5a0a8c7.woff2	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-solid-900-7f4d3fd0a705dbf8403298aad91d5de6972e6b5d536068eba8b24954a5a0a8c7.woff2	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:11	103300/103300	---M--	200	added ('OK')	font/woff	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-solid-900-352f8ead280419dd953d2bc7843386bb9430e8152c2dbd2c2d2494f6b9567ee7.woff	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-solid-900-352f8ead280419dd953d2bc7843386bb9430e8152c2dbd2c2d2494f6b9567ee7.woff	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:11	202616/202616	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-solid-900-231d68cefbc6846fb78cafca8467401a4f371e226418662e8900e3d52adc00ab.ttf	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-solid-900-231d68cefbc6846fb78cafca8467401a4f371e226418662e8900e3d52adc00ab.ttf	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:12	897426/897426	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-solid-900-e768539808757f7eec20f09c9ee9b36b0e6c5636e90c9ee697995cbbc6ee0555.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-solid-900-e768539808757f7eec20f09c9ee9b36b0e6c5636e90c9ee697995cbbc6ee0555.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:12	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-regular-400-01f4416f5db59e2dd6b6fbd9dc32336d99db18f7eb623a49f584d04afd279473.eot	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-regular-400-01f4416f5db59e2dd6b6fbd9dc32336d99db18f7eb623a49f584d04afd279473.eot	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:12	13584/13584	---M--	200	added ('OK')	font/woff2	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-regular-400-6a8c8e9e1e7f692c21af1956de163f3d026778e6449fe93a09a671847ca1ae65.woff2	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-regular-400-6a8c8e9e1e7f692c21af1956de163f3d026778e6449fe93a09a671847ca1ae65.woff2	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:12	16800/16800	---M-Z	200	added ('OK')	font/woff	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-regular-400-8e2d96198711b63752e5f2f5987b8ffc536df6156a065bdbe28cb7231cad793d.woff	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-regular-400-8e2d96198711b63752e5f2f5987b8ffc536df6156a065bdbe28cb7231cad793d.woff	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:12	34092/34092	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-regular-400-f32b94a29060dfec0c797a1dfe111357eb1d682f1aca4ac4b95cf0f4c3e2bfa9.ttf	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-regular-400-f32b94a29060dfec0c797a1dfe111357eb1d682f1aca4ac4b95cf0f4c3e2bfa9.ttf	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:13	144322/144322	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-regular-400-865fd23de13b1920280e182359579e09eff7a09eb24676eceec7552838559f55.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-regular-400-865fd23de13b1920280e182359579e09eff7a09eb24676eceec7552838559f55.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:13	133034/133034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-brands-400-811e1577184066108ceca86d5a624a9012303df5206c5cb0b27d5e3fedcba5a3.eot	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-brands-400-811e1577184066108ceca86d5a624a9012303df5206c5cb0b27d5e3fedcba5a3.eot	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:13	76612/76612	---M--	200	added ('OK')	font/woff2	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-brands-400-5d9190292acdd48ba0fc35080f7e7448f3cdf0d79199a4d23f0f49b5341fdf29.woff2	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-brands-400-5d9190292acdd48ba0fc35080f7e7448f3cdf0d79199a4d23f0f49b5341fdf29.woff2	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:13	89824/89824	---M--	200	added ('OK')	font/woff	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-brands-400-e836c5d5dfc13e18170c5bddefb4fdac7c65ac0ad43a4b431acdc4a98865a260.woff	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-brands-400-e836c5d5dfc13e18170c5bddefb4fdac7c65ac0ad43a4b431acdc4a98865a260.woff	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:13	132728/132728	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-brands-400-a0c145382acfe59767d1487d6505f349665b685c2885cd91b621d141a292b0f8.ttf	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-brands-400-a0c145382acfe59767d1487d6505f349665b685c2885cd91b621d141a292b0f8.ttf	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:14	715890/715890	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/font-awesome/fa-brands-400-02340ba1789d09bcc507563c89c4a847ba537bb8132082777a50519cf74bcb5b.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/font-awesome/fa-brands-400-02340ba1789d09bcc507563c89c4a847ba537bb8132082777a50519cf74bcb5b.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:14	408/408	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/clock/hero/hero-circle-8d90a990f038430547d07699498d3ab0068e2cc030ada1faca0d8ed10be390a6.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/clock/hero/hero-circle-8d90a990f038430547d07699498d3ab0068e2cc030ada1faca0d8ed10be390a6.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
